date,variable,strat,type,bottom,top,lower,upper,median,mean,sd,county
2020-08-04,R,NA,Estimate,0.918310629968344,1.06995539306705,0.967442353197948,1.02724775925358,0.99565685365627,0.992800293217675,0.0477333620831,Waupaca
2020-08-05,R,NA,Estimate,0.916201570711308,1.06909370886275,0.959614824983614,1.01957850613122,0.993791099994152,0.990831962840776,0.0476435042233336,Waupaca
2020-08-06,R,NA,Estimate,0.916379443236236,1.06824180225045,0.973857419717586,1.03432672839666,0.991674983536963,0.989344130312245,0.047481029321287,Waupaca
2020-08-07,R,NA,Estimate,0.922387861743384,1.0737350892765,0.972084672157386,1.03182649131195,0.989923014657504,0.988314959639207,0.0472838052593671,Waupaca
2020-08-08,R,NA,Estimate,0.920006609980304,1.06993782865966,0.970649691472829,1.02953740444366,0.988816596695517,0.987715986500856,0.0471056843916742,Waupaca
2020-08-09,R,NA,Estimate,0.914437145405521,1.06523174052062,0.970872999607258,1.02969826403187,0.989110874935616,0.987512708749979,0.0470146074573116,Waupaca
2020-08-10,R,NA,Estimate,0.909396278982355,1.05903087654064,0.968294348012615,1.02750149057829,0.988577656858054,0.98766531680472,0.0470878557300244,Waupaca
2020-08-11,R,NA,Estimate,0.905559721121167,1.05599473249605,0.965831548974636,1.02585741257461,0.989472589544759,0.98812955241267,0.0474046895887253,Waupaca
2020-08-12,R,NA,Estimate,0.904528345219892,1.05828420131298,0.962848219849227,1.02356511780346,0.989960735694579,0.98885768688481,0.0480374926240703,Waupaca
2020-08-13,R,NA,Estimate,0.909333822244136,1.06723660303351,0.956343578285973,1.01854823944306,0.990197116833262,0.989799608890494,0.0490433531800635,Waupaca
2020-08-14,R,NA,Estimate,0.901277186810986,1.06419099546939,0.960908902382602,1.02532514535879,0.991262289674607,0.990904006779925,0.0504581902746486,Waupaca
2020-08-15,R,NA,Estimate,0.909101400569878,1.08017570259568,0.958464683283705,1.02412915536032,0.99284224161794,0.992119622302695,0.052294695483487,Waupaca
2020-08-16,R,NA,Estimate,0.905451449018177,1.08208944581054,0.95216680801429,1.02062226206955,0.993561230287317,0.993396543901231,0.0545438427483387,Waupaca
2020-08-17,R,NA,Estimate,0.903069708377877,1.08878330540277,0.94686336127431,1.0202971161889,0.994039205344722,0.994687501052589,0.0571784594054304,Waupaca
2020-08-18,R,NA,Estimate based on partial data,0.898952088831425,1.09385605500421,0.944246295999451,1.02206050685179,0.996241482768247,0.995949117845165,0.0601571525566336,Waupaca
2020-08-19,R,NA,Estimate based on partial data,0.902000607787342,1.10787257901517,0.940378346153915,1.02218635645106,0.996861106714062,0.997143083433375,0.0634277246252749,Waupaca
2020-08-20,R,NA,Estimate based on partial data,0.887414962806843,1.10709617277296,0.941819740661299,1.02903686718672,0.995925066268429,0.998237196563828,0.0669303506598666,Waupaca
2020-08-21,R,NA,Estimate based on partial data,0.879923348871814,1.10993385038719,0.948282493247953,1.03945360773873,0.996746488360417,0.999206237953157,0.0706014089629985,Waupaca
2020-08-22,R,NA,Estimate based on partial data,0.893624483851427,1.13445611851184,0.952661158354964,1.04601466682057,0.9981454582413,1.00003261695108,0.0743785930948583,Waupaca
2020-08-23,R,NA,Estimate based on partial data,0.889096255532506,1.13572712978964,0.949899985032647,1.04589739017623,0.999056530091482,1.00070673082234,0.0782070009580339,Waupaca
2020-08-24,R,NA,Estimate based on partial data,0.878651090137789,1.14242430682734,0.950955258984403,1.04946949730683,0.999284811389365,1.00122697345807,0.0820448769798307,Waupaca
2020-08-25,R,NA,Estimate based on partial data,0.860657232601292,1.13718149706755,0.947765712581123,1.04850386617771,0.999433746145747,1.0015993440034,0.0858671866760982,Waupaca
2020-08-26,R,NA,Estimate based on partial data,0.862129956405191,1.15000338119023,0.954393047100114,1.05908205688549,0.99885300018007,1.00183663987648,0.0896655670526375,Waupaca
2020-08-27,R,NA,Estimate based on partial data,0.858995754536169,1.15531077592592,0.951560436658331,1.06120153479259,0.999142065754871,1.00195727031195,0.0934443330359921,Waupaca
2020-08-28,R,NA,Estimate based on partial data,0.85573016770644,1.16667447712596,0.951711806501288,1.06494652360423,0.999184630572699,1.0019837845102,0.0972136557317853,Waupaca
2020-08-29,R,NA,Estimate based on partial data,0.839480916322069,1.16379548722167,0.929285611417068,1.04367319881663,1.00124962392469,1.00194125598894,0.10098212298234,Waupaca
2020-08-30,R,NA,Estimate based on partial data,0.844350525476718,1.18079733078979,0.932211767037787,1.04984028353273,1.00090023335088,1.00185568614352,0.104751149178718,Waupaca
2020-08-31,R,NA,Estimate based on partial data,0.839907238038093,1.18356931635324,0.926535545906983,1.04607966265375,1.00040231593294,1.00175257704839,0.108513009678377,Waupaca
2020-09-01,R,NA,Estimate based on partial data,0.832336586869958,1.18923156886619,0.943744297572166,1.06737949429348,1.00059863844359,1.00165577867664,0.112252949773523,Waupaca
2020-09-02,R,NA,Estimate based on partial data,0.820867976954683,1.19424267021919,0.934967423441636,1.06153191995536,1.00039862201203,1.00158665149253,0.115954407464351,Waupaca
2020-09-03,R,NA,Estimate based on partial data,0.794294067138145,1.1812807847428,0.929380379354228,1.06027019129253,1.000391161145,1.001563520054,0.119605398927352,Waupaca
2020-09-04,R,NA,Forecast,0.788405573162103,1.19140038671777,0.921240908968883,1.05529233848727,1.00177162202856,1.00160134494319,0.123203821725019,Waupaca
2020-09-05,R,NA,Forecast,0.820893923234359,1.23711652328584,0.915028087353346,1.05136133093342,0.999632131938604,1.00171152134317,0.126759849381164,Waupaca
2020-09-06,R,NA,Forecast,0.799412013516551,1.23032663993935,0.90866744808764,1.05011103492876,1.00017535133964,1.00190172582328,0.130294540318629,Waupaca
2020-09-07,R,NA,Forecast,0.761358033785958,1.20712093394979,0.911983672337469,1.05642372867357,0.999563931055102,1.00217577135922,0.133834960731015,Waupaca
2020-09-08,R,NA,Forecast,0.754579741919987,1.21097726564096,0.900234965260818,1.0477635490476,1.00061643527952,1.00253347997778,0.137407168862985,Waupaca
2020-09-09,R,NA,Forecast,0.744051160049856,1.21534943480628,0.932370986911502,1.08100718413837,0.999310271392598,1.00297062600508,0.141029006889904,Waupaca
2020-09-10,R,NA,Forecast,0.746549508214238,1.2192176046854,0.932506550807145,1.08180496905191,0.999073607519534,1.0034790270782,0.144704618780026,Waupaca
2020-04-06,R,NA,Estimate,0.968739108265574,1.44332061720751,1.14271225057873,1.27892534575248,1.19397644532147,1.20416244312885,0.174165812919434,Waushara
