date,variable,strat,type,bottom,top,lower,upper,median,mean,sd,county
2020-09-01,R,NA,Estimate,1.14629656805728,1.41746123200462,1.22528685094274,1.32712023048334,1.27608855296876,1.27945437573064,0.0824293509492751,Portage
2020-09-02,R,NA,Estimate,1.13433860566562,1.39720832111775,1.20815095199836,1.3096794130081,1.25722726387772,1.26082201931691,0.0806776320830916,Portage
2020-09-03,R,NA,Estimate,1.12252349281871,1.38098500872117,1.19531618575058,1.29421839387195,1.23934018890099,1.24049697418717,0.0795621082987238,Portage
2020-09-04,R,NA,Estimate,1.07235468067043,1.32640786917024,1.16651606862948,1.26575247786548,1.2201371083483,1.21901978806479,0.0790015262943933,Portage
2020-09-05,R,NA,Estimate,1.06451801510306,1.31997424625666,1.16370188138049,1.2629235591515,1.19787027270561,1.19688473976506,0.0788098803228474,Portage
2020-09-06,R,NA,Estimate,1.03711757474587,1.29052936562764,1.12556807562371,1.22477410013027,1.17508045694295,1.17452728934173,0.0787543874954006,Portage
2020-09-07,R,NA,Estimate,1.02211188892652,1.27507733490316,1.10602309891186,1.20485324231316,1.15316401858177,1.15231846152105,0.0786107110656178,Portage
2020-09-08,R,NA,Estimate,0.999290359571423,1.25055293638631,1.0944618645327,1.19118450706663,1.13132985683928,1.13056495095108,0.0782027048202,Portage
2020-09-09,R,NA,Estimate,0.991569855555008,1.24338638813021,1.06342902576923,1.15967435151376,1.11023104643458,1.10951350323086,0.0774245320907081,Portage
2020-09-10,R,NA,Estimate,0.96998472589076,1.22044097856116,1.05770454330508,1.15382335043894,1.08984742114112,1.08935811281444,0.0762487972939707,Portage
2020-09-11,R,NA,Estimate,0.949853343201179,1.19294425370647,1.02864972284605,1.12279269462462,1.07275829359296,1.07024872068453,0.0747250364493362,Portage
2020-09-12,R,NA,Estimate,0.940121996207713,1.17828866721341,1.00623204427203,1.09767043387391,1.05382625711723,1.05230032941942,0.0729711174068947,Portage
2020-09-13,R,NA,Estimate,0.929476215263357,1.15933217392043,0.995048654784794,1.08070876641337,1.03763202808058,1.0356017296215,0.0711580031924574,Portage
2020-09-14,R,NA,Estimate,0.910039474030997,1.13290763088033,0.985712872625788,1.0725615254647,1.02149958328237,1.02022330855456,0.0694871897841965,Portage
2020-09-15,R,NA,Estimate,0.890432381008084,1.11029173657852,0.960888854088881,1.04532308917745,1.00539751767305,1.00622365722987,0.0681607645148941,Portage
2020-09-16,R,NA,Estimate,0.880355644526596,1.09526465314264,0.945719006710678,1.03045498486927,0.992105293629605,0.993654883600364,0.0673468989833856,Portage
2020-09-17,R,NA,Estimate,0.874697617156023,1.09165578182946,0.933187725395483,1.02050460032987,0.980218080219864,0.982566666027586,0.0671478375981232,Portage
2020-09-18,R,NA,Estimate,0.870059567467841,1.0889836342652,0.931519199743445,1.02167599680048,0.970470843035863,0.973009144764098,0.0675799863673304,Portage
2020-09-19,R,NA,Estimate,0.853956015318198,1.07509299547155,0.907269495713742,0.999648043276761,0.962388678144479,0.965034763136158,0.0685729648113181,Portage
2020-09-20,R,NA,Estimate,0.847767244970317,1.074164646125,0.903775915310406,0.998058625484977,0.957650428556965,0.958699153863094,0.0699868310364589,Portage
2020-09-21,R,NA,Estimate,0.833983295447836,1.06365777205004,0.89058997082253,0.982507006540026,0.954865658710861,0.954061138311865,0.0716396632634107,Portage
